timestamp,latitude,longitude,altitude,fix_quality,satellites,hdop,raw_sentence
2025-04-17 10:04:54,37.7749,-122.4194,100.0,2,9,1.2,"$GNGGA,100454,3746.49400,N,12225.16400,W,2,9,1.2,100.0,M,0.0,M,,*48"
2025-04-17 10:04:55,37.7749,-122.419401,100.0,2,8,1.2,"$GNGGA,100455,3746.49400,N,12225.16406,W,2,8,1.2,100.0,M,0.0,M,,*4E"
2025-04-17 10:04:56,37.7749,-122.419402,100.0,2,11,1.2,"$GNGGA,100456,3746.49400,N,12225.16412,W,2,11,1.2,100.0,M,0.0,M,,*70"
2025-04-17 10:04:57,37.7749,-122.419403,100.0,4,12,1.2,"$GNGGA,100457,3746.49400,N,12225.16418,W,4,12,1.2,100.0,M,0.0,M,,*7E"
2025-04-17 10:04:58,37.7749,-122.419404,100.0,2,11,1.2,"$GNGGA,100458,3746.49400,N,12225.16424,W,2,11,1.2,100.0,M,0.0,M,,*7B"
2025-04-17 10:04:59,37.7749,-122.419405,100.0,2,10,1.2,"$GNGGA,100459,3746.49400,N,12225.16430,W,2,10,1.2,100.0,M,0.0,M,,*7E"
2025-04-17 10:05:00,37.7749,-122.419406,100.0,4,10,1.2,"$GNGGA,100500,3746.49400,N,12225.16436,W,4,10,1.2,100.0,M,0.0,M,,*73"
2025-04-17 10:05:01,37.7749,-122.419407,100.0,2,10,1.2,"$GNGGA,100501,3746.49400,N,12225.16442,W,2,10,1.2,100.0,M,0.0,M,,*77"
2025-04-17 10:05:02,37.7749,-122.419408,100.0,1,8,1.2,"$GNGGA,100502,3746.49400,N,12225.16448,W,1,8,1.2,100.0,M,0.0,M,,*44"
2025-04-17 10:05:03,37.7749,-122.419409,100.0,1,12,1.2,"$GNGGA,100503,3746.49400,N,12225.16454,W,1,12,1.2,100.0,M,0.0,M,,*73"
2025-04-17 10:05:04,37.7749,-122.41941,100.0,2,8,1.2,"$GNGGA,100504,3746.49400,N,12225.16460,W,2,8,1.2,100.0,M,0.0,M,,*4B"
2025-04-17 10:05:05,37.7749,-122.419411,100.0,2,9,1.2,"$GNGGA,100505,3746.49400,N,12225.16466,W,2,9,1.2,100.0,M,0.0,M,,*4D"
2025-04-17 10:05:06,37.7749,-122.419412,100.0,2,8,1.2,"$GNGGA,100506,3746.49400,N,12225.16472,W,2,8,1.2,100.0,M,0.0,M,,*4A"
2025-04-17 10:05:07,37.7749,-122.419413,100.0,2,10,1.2,"$GNGGA,100507,3746.49400,N,12225.16478,W,2,10,1.2,100.0,M,0.0,M,,*78"
2025-04-17 10:05:08,37.7749,-122.419414,100.0,4,9,1.2,"$GNGGA,100508,3746.49400,N,12225.16484,W,4,9,1.2,100.0,M,0.0,M,,*4A"
2025-04-17 10:05:09,37.7749,-122.419415,100.0,2,12,1.2,"$GNGGA,100509,3746.49400,N,12225.16490,W,2,12,1.2,100.0,M,0.0,M,,*72"
2025-04-17 10:05:10,37.7749,-122.419416,100.0,2,11,1.2,"$GNGGA,100510,3746.49400,N,12225.16496,W,2,11,1.2,100.0,M,0.0,M,,*7F"
2025-04-17 10:05:11,37.7749,-122.419417,100.0,2,12,1.2,"$GNGGA,100511,3746.49400,N,12225.16502,W,2,12,1.2,100.0,M,0.0,M,,*71"
2025-04-17 10:05:12,37.7749,-122.419418,100.0,4,11,1.2,"$GNGGA,100512,3746.49400,N,12225.16508,W,4,11,1.2,100.0,M,0.0,M,,*7D"
2025-04-17 10:05:13,37.7749,-122.419419,100.0,1,12,1.2,"$GNGGA,100513,3746.49400,N,12225.16514,W,1,12,1.2,100.0,M,0.0,M,,*77"
2025-04-17 10:05:14,37.7749,-122.41942,100.0,2,8,1.2,"$GNGGA,100514,3746.49400,N,12225.16520,W,2,8,1.2,100.0,M,0.0,M,,*4F"
2025-04-17 10:05:15,37.7749,-122.419421,100.0,2,10,1.2,"$GNGGA,100515,3746.49400,N,12225.16526,W,2,10,1.2,100.0,M,0.0,M,,*71"
2025-04-17 10:05:16,37.7749,-122.419422,100.0,1,11,1.2,"$GNGGA,100516,3746.49400,N,12225.16532,W,1,11,1.2,100.0,M,0.0,M,,*75"
2025-04-17 10:05:17,37.7749,-122.419423,100.0,1,12,1.2,"$GNGGA,100517,3746.49400,N,12225.16538,W,1,12,1.2,100.0,M,0.0,M,,*7D"
2025-04-17 10:05:18,37.7749,-122.419424,100.0,2,10,1.2,"$GNGGA,100518,3746.49400,N,12225.16544,W,2,10,1.2,100.0,M,0.0,M,,*78"
2025-04-17 10:05:19,37.7749,-122.419425,100.0,2,10,1.2,"$GNGGA,100519,3746.49400,N,12225.16550,W,2,10,1.2,100.0,M,0.0,M,,*7C"
2025-04-17 10:05:20,37.7749,-122.419426,100.0,2,12,1.2,"$GNGGA,100520,3746.49400,N,12225.16556,W,2,12,1.2,100.0,M,0.0,M,,*72"
2025-04-17 10:05:21,37.7749,-122.419427,100.0,1,11,1.2,"$GNGGA,100521,3746.49400,N,12225.16562,W,1,11,1.2,100.0,M,0.0,M,,*74"
2025-04-17 10:05:22,37.7749,-122.419428,100.0,2,11,1.2,"$GNGGA,100522,3746.49400,N,12225.16568,W,2,11,1.2,100.0,M,0.0,M,,*7E"
2025-04-17 10:05:23,37.7749,-122.419429,100.0,4,8,1.2,"$GNGGA,100523,3746.49400,N,12225.16574,W,4,8,1.2,100.0,M,0.0,M,,*4C"
2025-04-17 10:05:24,37.7749,-122.41943,100.0,2,12,1.2,"$GNGGA,100524,3746.49400,N,12225.16580,W,2,12,1.2,100.0,M,0.0,M,,*7D"
